2001-2005 WLD,,,2001-2005 CHN,,,2001-2005 USA,,,2006-2010 WLD,,,2006-2010 CHN,,,2006-2010 USA,,,2011-2015 WLD,,,2011-2015 CHN,,,2011-2015 USA,,
product1,product2,proximity,product1,product2,proximity,product1,product2,proximity,product1,product2,proximity,product1,product2,proximity,product1,product2,proximity,product1,product2,proximity,product1,product2,proximity,product1,product2,proximity
8431,8422,0.758226868,7361,7367,0.635244755,3223,13,0.7,8462,8442,0.7302803,7449,7429,0.70620915,3414,2518,0.7,8435,8459,0.748577525,8424,8439,0.72182709,2518,3414,0.7
8422,8431,0.758226868,7367,7361,0.635244755,411,3510,0.7,8442,8462,0.7302803,7429,7449,0.70620915,3223,411,0.7,8459,8435,0.748577525,8439,8424,0.72182709,3414,2518,0.7
8432,8435,0.756031851,8996,7439,0.634927638,13,411,0.7,8441,8434,0.729835508,8435,8459,0.703430994,541,2512,0.7,8462,8452,0.746623602,7436,6785,0.721223058,3414,3510,0.7
8435,8432,0.756031851,7439,8996,0.634927638,3414,541,0.7,8434,8441,0.729835508,8459,8435,0.703430994,541,411,0.7,8452,8462,0.746623602,6785,7436,0.721223058,7832,7915,0.7
8434,8459,0.753024823,6623,5139,0.633861237,3510,3223,0.7,8424,8441,0.729630853,7439,7436,0.701164968,2512,913,0.7,8431,8421,0.74540025,6785,7492,0.721041239,8463,8452,0.69972228
8459,8434,0.753024823,5139,6623,0.633861237,3223,3414,0.7,8441,8424,0.729630853,7436,7439,0.701164968,2518,411,0.7,8421,8431,0.74540025,7492,6785,0.721041239,8452,8463,0.69972228
8435,8431,0.752142847,7272,7439,0.631316527,13,3223,0.7,8441,8423,0.728666851,8431,8462,0.699515784,913,3223,0.7,8451,8452,0.744309474,8423,8424,0.720697013,8439,8462,0.69716865
8431,8435,0.752142847,7439,7272,0.631316527,411,13,0.7,8423,8441,0.728666851,8462,8431,0.699515784,411,3510,0.7,8452,8451,0.744309474,8424,8423,0.720697013,8462,8439,0.69716865
8435,8451,0.751982923,5139,5335,0.631040724,8423,8452,0.699758165,8439,8433,0.725057448,8434,8459,0.698539894,2518,3414,0.7,8423,8459,0.741775241,8459,8424,0.720566802,8452,8441,0.696830804
8451,8435,0.751982923,5335,5139,0.631040724,8452,8423,0.699758165,8433,8439,0.725057448,8459,8434,0.698539894,13,3510,0.7,8459,8423,0.741775241,8424,8459,0.720566802,8441,8452,0.696830804
7723,7788,0.751111111,7492,8720,0.630196704,8452,8463,0.696967564,8423,8462,0.723669468,8423,8435,0.697874763,3414,541,0.7,8433,8439,0.740417285,7758,8743,0.719641026,5829,5839,0.694172494
7788,7723,0.751111111,8720,7492,0.630196704,8463,8452,0.696967564,8462,8423,0.723669468,8435,8423,0.697874763,411,2518,0.7,8439,8433,0.740417285,8743,7758,0.719641026,5839,5829,0.694172494
8441,8463,0.750856939,7449,6623,0.630119048,8435,8439,0.695684231,8459,8434,0.723134166,8424,8462,0.696863751,411,3223,0.7,8442,8443,0.74016092,7493,7492,0.719480519,8424,8421,0.694106741
8463,8441,0.750856939,6623,7449,0.630119048,8439,8435,0.695684231,8434,8459,0.723134166,8462,8424,0.696863751,411,541,0.7,8443,8442,0.74016092,7492,7493,0.719480519,8421,8424,0.694106741
7849,6289,0.750543024,4113,2681,0.63,5137,5983,0.693921569,7599,7525,0.718727106,8451,8441,0.696434542,913,2512,0.7,8451,8435,0.738733997,8452,8462,0.718819777,8424,8431,0.691810542
6289,7849,0.750543024,2681,4113,0.63,5983,5137,0.693921569,7525,7599,0.718727106,8441,8451,0.696434542,2512,13,0.7,8435,8451,0.738733997,8462,8452,0.718819777,8431,8424,0.691810542
8434,8463,0.750189437,8996,7413,0.62968254,8429,8435,0.687967641,8432,8459,0.717871008,8424,8429,0.695856888,4244,4242,0.695238095,8439,8452,0.736955747,8421,8441,0.716777188,8452,8435,0.691530112
8463,8434,0.750189437,7413,8996,0.62968254,8435,8429,0.687967641,8459,8432,0.717871008,8429,8424,0.695856888,4242,4244,0.695238095,8452,8439,0.736955747,8441,8421,0.716777188,8435,8452,0.691530112
